Vertical,valid_from,valid_to,ally_name,policy_name,use_pre_approved_cupo,pd_model_multiplier,pd_model,pd_model_fallback,other_pd_models_to_run,secondary_policy_name,secondary_pd_model,PD_Multiplier_ally,Hardcoded_policy,SMB,,,,,,,,
SPORTS AND ACCESSORIES,,,pasionbike-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,samarshop-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,tsestilo-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,motoplanet-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,antioquiaventas-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,antioquiaventas-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,newera-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,milonga-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,milonga-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,hecatombe-online,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,hecatombe-ecommerce,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,coolrack-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,biuty-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,tiendaramses-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,kmelectrodomesticos-online,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,satinadamakeup-ecommerce,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,rejection_policy_pago,-,0,,,,,#N/A,,
Beauty,,,satinadamakeup-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,planetastore6-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,freesale-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,botanica-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,botanica-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,maaycamoda-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,planetastoresuper99-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,hycbeautyshop-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,hycbeautyshop-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,divastore-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,artrade-online,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,thegummybox-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
OTHERS,,,planetastorespace-online,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,rejection_policy_pago,-,0,,,,,#N/A,,
Beauty,,,elmejorperfume-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,adonabeauty-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,zonafemeninacol-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,lamundialdelcasco-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,festivo-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,festivo-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,owlsbiker-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,inoashoes-online,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,rejection_policy_pago,-,0,,,,,#N/A,,
APPAREL,,,bless-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
FURNITURE,,,legnocolombia-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,emmoto-online,Oddy_medium_risk,FALSE,1.2,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,-,-,0,,,,,#N/A,,
Jewerly Store,,,bigtime-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Jewerly Store,,,bigtime-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,planetastoreandes-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,calzadonuevamoda-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,modalatina-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,bombshell-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,bombshell-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,greenfit-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,tiendametamorfosis-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,uniformeshola-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,uniformeshola-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,zonabikerla9-online,rejection_policy_pago,FALSE,1,ADDI_PAGO_PD_AT_ORIGINATION_V3,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,rejection_policy_pago,-,0,,,,,#N/A,,
APPAREL,,,coralshop-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,coralshop-ecommerce,Oddy_medium_risk,FALSE,2.4,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,3,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,poppe-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,poppe-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,denimware-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,denimware-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
FURNITURE,,,colchonesrealflex-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
PETS,,,bulldogworld-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
HOME IMPROVEMENT,,,purifilinternacional-online,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,purenature-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
PETS,,,omegaimportaciones-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,emporio-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,sosbellezaoriente-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
ELECTIVE MEDICAL SERVICES,,,imporgafasneiva-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,selecto-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,selecto-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,face2face-online,Oddy_medium_risk,FALSE,1.2,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,-,-,0,,,,,#N/A,,
APPAREL,,,face2face-ecommerce,Oddy_medium_risk,FALSE,1.2,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,-,-,0,,,,,#N/A,,
Beauty,,,frabeauty-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,crazyshark-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
ELECTIVE MEDICAL SERVICES,,,opticaretinos-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
ELECTIVE MEDICAL SERVICES,,,opticaretinos-ecommerce,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,sionbike-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
FURNITURE,,,mueblesemmanuel-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
OTHERS,,,oclockstore-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,bocali-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,bocali-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,bellasdiariamente-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,tez-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
FURNITURE,,,elcampesino-online,Oddy_medium_risk,FALSE,2.1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,2.1,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,motocascospamplona-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
SPORTS AND ACCESSORIES,,,tecnosportbuga-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
ELECTIVE MEDICAL SERVICES,,,optikairos-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
ELECTIVE MEDICAL SERVICES,,,clinicadrluislasso-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
DEPARTMENT STORES/BIG BOX RETAILERS,,,elenaspos-online,Oddy_medium_risk,FALSE,1.5,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.5,-,-,0,,,,,#N/A,,
Beauty,,,yosoysoler-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,yosoysoler-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,vivebeauty-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,cocoajeans-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,cocoajeans-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,onehalf-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,onehalf-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
Beauty,,,perfumesymarcas-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,lumia-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,lumia-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
AUTO-PARTS,,,ridersite-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,lincrock-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,lincrock-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,speedlogic-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,speedlogic-ecommerce,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
Beauty,,,orionrey-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
APPAREL,,,urbanchic-online,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
APPAREL,,,urbanchic-ecommerce,Oddy_medium_risk,FALSE,1,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1.25,-,-,0,,,,,#N/A,,
TECH/ELECTRONICS,,,eratecnologia-online,Oddy_medium_risk,FALSE,1.3,ADDI_PAGO_CO_ODYSSEUS,ADDI_FALLBACK_PAGO_CO,ADDI_PAGO_PD_AT_ORIGINATION_V1,,,1,-,-,0,,,,,#N/A,,
