policy_name,pd_min,pd_max,requested_amount_min,requested_amount_max,preapproved_product,approval_rate,learning_population,term,guarantee,interest_rate,product,Addiflex Version,,,,,,
addipago_tightening_policy,0.00%,10.00%,"$50,000.00","$300,001.00",,100.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,10.00%,100.00%,"$50,000.00","$300,001.00",,0.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,5.00%,"$300,001.00","$600,001.00",,100.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,5.00%,100.00%,"$300,001.00","$600,001.00",,0.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,3.00%,"$600,001.00","$900,001.00",,100.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,3.00%,100.00%,"$600,001.00","$900,001.00",,0.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,100.00%,"$900,001.00","$20,000,000.00",,0.00%,FALSE,2,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,100.00%,$0.00,"$50,000.00",,0.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,10.00%,"$50,000.00","$300,001.00",,100.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,10.00%,100.00%,"$50,000.00","$300,001.00",,0.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,5.00%,"$300,001.00","$600,001.00",,100.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,5.00%,100.00%,"$300,001.00","$600,001.00",,0.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,0.00%,3.00%,"$600,001.00","$900,001.00",,100.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
addipago_tightening_policy,3.00%,100.00%,"$600,001.00","$900,001.00",,0.00%,FALSE,3,0.00%,0.00%,CUPO,,,,,,,
